film_id,film_name,duration,category,language,year,rating
314413,An American in Paris,115,musical,English,1951,NR
18326,The American President,114,drama,English,1995,PG-13
21803414,American Hustle,138,drama,English,2013,R
3940259,American Splendor,102,comedy-drama,English,2003,R
1235645,An American Tail,80,drama,English,1986,G
12747,An American Werewolf in London,91,mystery & suspense,English,1981,R
1200067,The Americanization of Emily,115,comedy,English,1964,NR
18766417,Americas in Transition,0,,English,1981,NR
131236,Amistad,152,drama,English,1997,R
4679982,The Amityville Horror,90,horror,English,2005,R
3250718,Amores Perros,148,drama,English,2000,R
20509881,Amour,127,drama,English,2012,PG-13
1203931,The Fighter,96,drama,English,1983,NR
299603,Anastasia,105,drama,English,1956,NR
299603,Anastasia,105,drama,English,1956,NR
1200169,Anatomy of a Murder,161,drama,English,1959,NR
301845,Anchors Aweigh,141,musical,English,1945,NR
35157,...And Justice for All,117,comedy-drama,English,1979,R
1199680,And Now My Love,120,drama,English,1974,PG
21743062,The Wolf of Wall Street,179,biography,English,2013,R
1240756,The Anderson Platoon,65,documentary,English,1967,NR
1200177,The Andromeda Strain,127,sci-fi,English,1971,G
20996558,Free Angela and All Political Prisoners,97,documentary,English,2012,NR
2604351,Angela's Ashes,145,drama,English,1999,R
1234089,Angels & Insects,116,drama,English,1995,R
59817,Angels Over Broadway,80,drama,English,1940,NR
52141,Angels With Dirty Faces,97,crime drama,English,1938,NR
1199696,Angry Harvest,104,drama,English,1985,NR
1200185,The Angry Silence,95,drama,English,1960,NR
13635315,Animal Kingdom,113,crime drama,English,2010,R
232816,Anna,100,drama,English,1987,PG-13
20283152,The Magic of Belle Isle,109,comedy-drama,English,2012,PG
2540045,Anna and the King,147,drama,English,1999,PG-13
255405,Anna and the King of Siam,128,drama,English,1946,NR
1237067,Anna Christie,86,drama,English,1930,NR
20524827,Anna Karenina,129,drama,English,2012,R
270303,Anne Frank Remembered,120,documentary,English,1995,PG
14701,Anne of the Thousand Days,145,drama,English,1969,PG
59842,Annie Hall,94,comedy,English,1977,PG
1199804,Annie Get Your Gun,107,musical,English,1950,NR
59842,Annie Hall,94,comedy,English,1977,PG
59842,Annie Hall,94,comedy,English,1977,PG
17843210,Anonymous,129,drama,English,2011,PG-13
18873062,Another Year,129,comedy-drama,English,2010,PG-13
18771062,Antarctic Crossing,50,,English,1958,NR
282847,Anthony Adverse,141,action/adventure,English,1936,NR
1200209,Antonia: A Portrait of the Woman,58,documentary,English,1974,NR
1234982,Antonia's Line,105,drama,English,1995,R
60776,The Apartment,125,comedy,English,1960,NR
1222662,Ape and Super Ape,90,documentary,English,1974,G
29668,Apocalypse Now,153,drama,English,1979,R
6208779,Apocalypto,139,action/adventure,English,2006,R
21251,Apollo 13,140,drama,English,1995,PG
202152,The Apostle,133,drama,English,1997,PG-13
1200414,Appointment for Love,88,comedy,English,1941,NR
18784043,The Appointments of Dennis Jennings,30,comedy,English,1988,NR
18653,The Apprenticeship of Duddy Kravitz,120,comedy-drama,English,1974,PG
255385,April Love,97,musical,English,1957,NR
1221507,House Party,100,comedy,English,1990,R
171615,Arabian Nights,86,action/adventure,English,1942,NR
19867798,Argo,120,drama,English,2012,R
171667,"Arise, My Love",113,drama,English,1940,NR
3392440,Arizona,70,drama,English,1931,NR
2435507,Armageddon,153,action/adventure,English,1998,PG-13
1203310,Arms and the Man,100,comedy,English,1962,NR
21396395,Gideon's Army,96,documentary,English,2013,NR
1200430,Army Girl,90,drama,English,1938,NR
9296,Around the World in 80 Days,174,action/adventure,English,1956,G
1200435,Arrowsmith,110,drama,English,1931,NR
18747605,Art Is,0,documentary,English,1971,NR
18784741,Arthur,110,comedy,English,2011,PG-13
23119251,Lizzie Borden Took An Ax,120,crime drama,English,2014,NR
21960000,How I Live Now,101,sci-fi,English,2013,R
1203314,"Artie Shaw, Time Is All You've Got",120,documentary,English,1986,NR
19858516,The Artist,100,comedy-drama,English,2011,PG-13
1199852,Artists and Models,98,musical,English,1937,NR
12324201,The Tree Of Life,139,drama,English,2011,PG-13
18784741,Arthur,110,comedy,English,2011,PG-13
18712616,On Earth as It is in Heaven,21,,English,2009,NR
20438480,Asad,18,drama,English,2012,NR
24262,The Asphalt Jungle,112,crime drama,English,1950,NR
7119113,Assassination of Jesse James by Robert Ford,160,crime drama,English,2007,R
1203324,The Assault,149,drama,English,1986,PG
10157121,Asylum,93,horror,English,2008,R
1201558,Everything Happens at Night,77,comedy,English,1939,NR
18735075,At the Edge of Conquest: the Journey of Cheif,28,documentary,English,1992,NR
1239595,Blazing Saddles,93,comedy,English,1974,NR
43625,Atlantic City,104,drama,English,1980,R
1203336,The Atomic City,84,mystery & suspense,English,1952,NR
23090164,Flowers in the Attic,120,mystery & suspense,English,2014,NR
7414542,Atonement,123,drama,English,2007,R
18783630,New Audioscopiks,0,other,English,1938,NR
21891537,Lone Survivor,121,action/adventure,English,2013,R
7501016,August Rush,114,drama,English,2007,PG
1199977,Auntie Mame,143,comedy,English,1958,NR
20613219,Runaway Slave,108,documentary,English,2012,PG
2252258,Austin Powers: The spy who shagged me,95,comedy,English,1999,PG-13
8168830,Australia,165,action/adventure,English,2008,PG-13
19577917,Thor: The Dark World,112,action/adventure,English,2013,PG-13
18720469,Automania 2000,10,other,English,1963,NR
1203349,Autumn Sonata,97,drama,English,1978,PG
432459,Avalon,126,drama,English,1990,PG
8904814,Avatar,162,sci-fi,English,2009,PG-13
4447530,The Aviator,170,biography,English,2004,PG-13
19763558,Underworld: Awakening,88,action/adventure,English,2012,R
19545,Awakenings,121,drama,English,1990,PG-13
6751760,Away from Her,110,drama,English,2006,PG-13
322904,The Awful Truth,92,comedy,English,1937,NR
2972059,Ayn Rand: A Sense of Life,120,documentary,English,1997,NR
1144,Coal Miner's Daughter,125,drama,English,1980,PG
9552272,The Baader Meinhof Complex,144,drama,English,2008,R
18139,Babe,92,fantasy,English,1995,G
1241569,Babe: Pig in the City,96,comedy,English,1998,G
6150389,Babel,143,drama,English,2006,R
53520,Babes in Arms,93,musical,English,1939,NR
1199895,Babes in Toyland,106,musical,English,1961,G
448141,Babes on Broadway,118,musical,English,1941,NR
1203356,Babette's Feast,105,drama,English,1987,G
1203359,Baby Doll,114,drama,English,1956,R
1199989,The Baby Maker,109,drama,English,1970,R
346540,The Bachelor and the Bobby-Soxer,95,comedy,English,1947,NR
79995,Bachelor in Paradise,110,comedy,English,1961,NR
28445,Bachelor Mother,80,comedy,English,1939,NR
1221742,The Bachelor Party,93,drama,English,1957,NR
231025,Back Street,89,drama,English,1941,NR
231025,Back Street,89,drama,English,1941,NR
1199995,Back to the Future,116,comedy,English,1985,PG
1220244,Back to the Future Part II,108,comedy,English,1989,PG
11908,BackDraft,135,drama,English,1991,R
1203369,Background,83,drama,English,1953,NR
261058,The Bad and the Beautiful,116,drama,English,1952,NR
323144,Bad Day at Black Rock,81,drama,English,1954,NR
18727548,Peck's Bad Girl,0,,English,1918,NR
1200598,The Bad Seed,127,drama,English,1956,NR
18715360,Badgered,0,comedy,English,2005,NR
1217462,Out of Rosenheim,91,comedy-drama,English,1988,PG
95467,Balalaika,102,musical,English,1939,NR
16384,A Delicate Balance,132,drama,English,1974,PG
